sample,structure,interval,step,crash_frac,total_return,cagr,max_drawdown,annualized_vol,sharpe_like,bench_return,bench_sharpe
5y,F79,21,0.2,0.25,0.7891,0.1235,-0.364,0.2173,0.647,0.8025,0.633
5y,F79,21,0.2,0.5,0.8971,0.1368,-0.364,0.2185,0.698,0.8025,0.633
5y,F79,21,0.2,0.75,0.947,0.1427,-0.364,0.219,0.721,0.8025,0.633
5y,F79,21,0.2,1.0,0.9752,0.146,-0.364,0.2192,0.734,0.8025,0.633
5y,F79,21,0.3,0.0,0.6441,0.1047,-0.3565,0.2145,0.573,0.8025,0.633
5y,F79,21,0.3,0.25,0.8037,0.1254,-0.364,0.2179,0.653,0.8025,0.633
5y,F79,21,0.3,0.5,0.8875,0.1356,-0.364,0.2188,0.693,0.8025,0.633
5y,F79,21,0.3,0.75,0.9311,0.1409,-0.364,0.2192,0.713,0.8025,0.633
5y,F79,21,0.3,1.0,0.9556,0.1437,-0.364,0.2194,0.724,0.8025,0.633
5y,F79,21,0.4,0.0,0.6952,0.1115,-0.3578,0.2163,0.599,0.8025,0.633
5y,F79,21,0.4,0.25,0.8109,0.1263,-0.364,0.2185,0.656,0.8025,0.633
5y,F79,21,0.4,0.5,0.8778,0.1345,-0.364,0.2192,0.687,0.8025,0.633
5y,F79,21,0.4,0.75,0.9151,0.139,-0.364,0.2196,0.705,0.8025,0.633
5y,F79,21,0.4,1.0,0.936,0.1414,-0.364,0.2198,0.714,0.8025,0.633
5y,F79,21,0.5,0.0,0.6999,0.1121,-0.3611,0.218,0.598,0.8025,0.633
5y,F79,21,0.5,0.25,0.8113,0.1263,-0.364,0.2191,0.655,0.8025,0.633
5y,F79,21,0.5,0.5,0.8682,0.1333,-0.364,0.2197,0.682,0.8025,0.633
5y,F79,21,0.5,0.75,0.8994,0.1371,-0.364,0.22,0.696,0.8025,0.633
5y,F79,21,0.5,1.0,0.9166,0.1391,-0.364,0.2202,0.704,0.8025,0.633
5y,F79,28,0.02,0.0,0.0662,0.0129,-0.1901,0.0828,0.197,0.8025,0.633
5y,F79,28,0.02,0.25,0.7715,0.1213,-0.3628,0.2128,0.647,0.8025,0.633
5y,F79,28,0.02,0.5,0.9173,0.1392,-0.3639,0.2168,0.712,0.8025,0.633
5y,F79,28,0.02,0.75,0.9724,0.1457,-0.364,0.2186,0.734,0.8025,0.633
5y,F79,28,0.02,1.0,1.01,0.15,-0.364,0.219,0.75,0.8025,0.633
5y,F79,28,0.05,0.0,0.2753,0.0499,-0.2448,0.1368,0.426,0.8025,0.633
5y,F79,28,0.05,0.25,0.7734,0.1216,-0.3635,0.2135,0.646,0.8025,0.633
5y,F79,28,0.05,0.5,0.9049,0.1377,-0.3639,0.2172,0.705,0.8025,0.633
5y,F79,28,0.05,0.75,0.9686,0.1453,-0.364,0.2187,0.732,0.8025,0.633
5y,F79,28,0.05,1.0,1.0031,0.1492,-0.364,0.219,0.747,0.8025,0.633
5y,F79,28,0.1,0.0,0.3864,0.0676,-0.3002,0.1857,0.446,0.8025,0.633
5y,F79,28,0.1,0.25,0.7721,0.1214,-0.3635,0.2144,0.644,0.8025,0.633
5y,F79,28,0.1,0.5,0.8843,0.1353,-0.3639,0.218,0.693,0.8025,0.633
5y,F79,28,0.1,0.75,0.9592,0.1442,-0.364,0.2188,0.727,0.8025,0.633
5y,F79,28,0.1,1.0,0.9915,0.1479,-0.364,0.2191,0.742,0.8025,0.633
5y,F79,28,0.15,0.0,0.4076,0.0709,-0.324,0.2,0.443,0.8025,0.633
5y,F79,28,0.15,0.25,0.7676,0.1208,-0.3635,0.2155,0.639,0.8025,0.633
5y,F79,28,0.15,0.5,0.8866,0.1355,-0.3639,0.2182,0.694,0.8025,0.633
5y,F79,28,0.15,0.75,0.949,0.143,-0.364,0.2189,0.722,0.8025,0.633
5y,F79,28,0.15,1.0,0.98,0.1466,-0.364,0.2191,0.736,0.8025,0.633
5y,F79,28,0.2,0.0,0.4443,0.0764,-0.3439,0.2056,0.462,0.8025,0.633
5y,F79,28,0.2,0.25,0.7586,0.1197,-0.3635,0.2167,0.632,0.8025,0.633
5y,F79,28,0.2,0.5,0.8871,0.1356,-0.3639,0.2184,0.694,0.8025,0.633
5y,F79,28,0.2,0.75,0.9387,0.1418,-0.364,0.2189,0.717,0.8025,0.633
5y,F79,28,0.2,1.0,0.9684,0.1452,-0.364,0.2192,0.731,0.8025,0.633
5y,F79,28,0.3,0.0,0.5294,0.0888,-0.3565,0.212,0.509,0.8025,0.633
5y,F79,28,0.3,0.25,0.7723,0.1214,-0.3635,0.2174,0.638,0.8025,0.633
5y,F79,28,0.3,0.5,0.8712,0.1337,-0.3639,0.2187,0.685,0.8025,0.633
5y,F79,28,0.3,0.75,0.9181,0.1393,-0.364,0.2192,0.707,0.8025,0.633
5y,F79,28,0.3,1.0,0.9452,0.1425,-0.364,0.2195,0.719,0.8025,0.633
5y,F79,28,0.4,0.0,0.6012,0.0989,-0.3585,0.2148,0.548,0.8025,0.633
5y,F79,28,0.4,0.25,0.7756,0.1218,-0.3635,0.218,0.638,0.8025,0.633
5y,F79,28,0.4,0.5,0.8552,0.1317,-0.3639,0.2191,0.677,0.8025,0.633
5y,F79,28,0.4,0.75,0.8975,0.1369,-0.364,0.2196,0.696,0.8025,0.633
5y,F79,28,0.4,1.0,0.922,0.1398,-0.364,0.2198,0.708,0.8025,0.633
5y,F79,28,0.5,0.0,0.6578,0.1065,-0.3614,0.217,0.577,0.8025,0.633
5y,F79,28,0.5,0.25,0.7664,0.1207,-0.3635,0.2186,0.632,0.8025,0.633
5y,F79,28,0.5,0.5,0.8391,0.1298,-0.3639,0.2196,0.668,0.8025,0.633
5y,F79,28,0.5,0.75,0.8768,0.1344,-0.364,0.22,0.685,0.8025,0.633
