sample,ma,buffer,cap,crash,total_return,cagr,max_drawdown,annualized_vol,sharpe_like,dd_2022,r2_worst,r2_neg,episodes
2011,125,0.02,0.25,31,4.7409,0.1177,-0.2059,0.1322,0.91,-0.19472812675929885,-0.11774616171785757,0.06877539175856065,27
2011,125,0.02,0.5,28,5.3091,0.1244,-0.2578,0.1431,0.893,-0.24734606247026225,-0.0760835618717004,0.058908879860708065,27
2011,125,0.02,0.5,29,5.2658,0.1239,-0.2578,0.1439,0.886,-0.24734606247026214,-0.07245562885211854,0.0591990713871155,27
2011,125,0.02,0.5,30,5.4115,0.1256,-0.2578,0.144,0.896,-0.24734606247026225,-0.07245562885211854,0.05832849680789321,27
2011,125,0.02,0.5,31,5.4285,0.1258,-0.2578,0.1441,0.896,-0.24734606247026225,-0.07245562885211854,0.057457922228670924,27
2011,125,0.02,0.75,28,5.9317,0.1312,-0.308,0.1625,0.842,-0.298252834290479,-0.1385739056425871,0.057457922228670924,27
2011,125,0.02,0.75,29,5.8839,0.1307,-0.308,0.1633,0.836,-0.2982528342904791,-0.12944234427876777,0.05542658154381892,27
2011,125,0.02,0.75,30,6.044,0.1323,-0.308,0.1633,0.845,-0.2982528342904789,-0.12944234427876722,0.053975623911781775,27
2011,125,0.02,0.75,31,6.0811,0.1327,-0.308,0.1634,0.846,-0.29825283429047866,-0.129442344278767,0.05368543238537435,27
5y,125,0.03,0.0,28,0.8361,0.1294,-0.1945,0.1387,0.951,-0.18162518782934767,0.006793315406903977,0.0,7
5y,125,0.03,0.0,29,0.8346,0.1292,-0.1945,0.1387,0.949,-0.18162518782934767,0.006793315406903977,0.0,7
5y,125,0.03,0.0,30,0.8367,0.1295,-0.1945,0.1387,0.951,-0.18162518782934767,0.006793315406903977,0.0,7
5y,125,0.03,0.0,31,0.8514,0.1313,-0.1945,0.1388,0.962,-0.18162518782934767,0.006793315406903977,0.0,7
