sample,resell,crash,total_return,cagr,max_drawdown,annualized_vol,sharpe_like,dd_2022,r2_worst,r2_neg,crash_buys
5y,74,44,0.7913,0.1238,-0.2322,0.1587,0.818,-0.22923874405735112,-0.03294924485628914,0.013333333333333334,39
5y,74,45,0.7913,0.1238,-0.2322,0.1587,0.818,-0.22923874405735112,-0.03294924485628914,0.013333333333333334,38
5y,75,15,0.4452,0.0765,-0.2093,0.1332,0.623,-0.20223911136495443,-0.06700818802784192,0.06666666666666667,14
5y,75,16,0.4452,0.0765,-0.2093,0.1332,0.623,-0.20223911136495443,-0.06700818802784192,0.06666666666666667,15
5y,75,17,0.5029,0.085,-0.2093,0.1367,0.668,-0.20223911136495443,-0.06700818802784192,0.06666666666666667,21
5y,75,18,0.5029,0.085,-0.2093,0.1367,0.668,-0.20223911136495443,-0.06700818802784192,0.06666666666666667,21
5y,75,19,0.5143,0.0866,-0.2093,0.1368,0.678,-0.20223911136495432,-0.06700818802784181,0.06666666666666667,20
5y,75,20,0.533,0.0893,-0.2093,0.1372,0.695,-0.20223911136495432,-0.06700818802784181,0.06666666666666667,20
5y,75,21,0.6456,0.1049,-0.2302,0.148,0.751,-0.21862821168563729,-0.06317177160066567,0.024,24
5y,75,22,0.6456,0.1049,-0.2302,0.148,0.751,-0.21862821168563729,-0.06317177160066567,0.024,25
5y,75,23,0.7294,0.1159,-0.2302,0.1512,0.804,-0.21496411855081266,-0.0271523911944348,0.009333333333333334,29
5y,75,24,0.763,0.1202,-0.2302,0.1516,0.828,-0.21496411855081266,-0.01705012850601173,0.005333333333333333,31
5y,75,25,0.7644,0.1204,-0.2302,0.1519,0.828,-0.21937792103736387,-0.016266086993810935,0.005333333333333333,29
5y,75,26,0.7644,0.1204,-0.2302,0.1519,0.828,-0.21937792103736387,-0.016266086993810935,0.005333333333333333,29
5y,75,27,0.7802,0.1224,-0.2302,0.1521,0.839,-0.21937792103736387,-0.007502628173139847,0.004,33
5y,75,28,0.8911,0.1361,-0.2302,0.1574,0.893,-0.21937792103736387,-0.007502628173139847,0.004,37
5y,75,29,0.8852,0.1354,-0.2302,0.1574,0.889,-0.21937792103736387,-0.007502628173139847,0.004,36
5y,75,30,0.8934,0.1364,-0.2302,0.1575,0.894,-0.21937792103736387,-0.007502628173139847,0.004,32
5y,75,31,0.9001,0.1372,-0.2302,0.1576,0.898,-0.21937792103736387,-0.007502628173139847,0.004,29
5y,75,32,0.8381,0.1296,-0.2394,0.1581,0.854,-0.23261084588739445,-0.024327213960785965,0.008,31
