ma,buffer,cap,crash,total_return,cagr,max_drawdown,annualized_vol,sharpe_like
150,0.02,0.25,31,1.4903,0.0598,-0.4081,0.1748,0.443
150,0.02,0.5,28,1.8677,0.0694,-0.4081,0.1834,0.482
150,0.02,0.5,29,1.89,0.0699,-0.4081,0.1842,0.484
150,0.02,0.5,30,1.9069,0.0703,-0.4081,0.1843,0.486
150,0.02,0.5,31,1.9219,0.0706,-0.4081,0.1843,0.488
150,0.02,0.75,28,2.3004,0.079,-0.4081,0.1988,0.507
150,0.02,0.75,29,2.3261,0.0795,-0.4081,0.1995,0.509
150,0.02,0.75,30,2.3455,0.0799,-0.4081,0.1996,0.511
150,0.02,0.75,31,2.3628,0.0803,-0.4081,0.1997,0.513
150,0.03,0.0,28,1.0903,0.0481,-0.4167,0.1724,0.377
150,0.03,0.0,29,1.1066,0.0486,-0.4167,0.1732,0.38
150,0.03,0.0,30,1.1188,0.049,-0.4233,0.1734,0.382
150,0.03,0.0,31,1.1298,0.0493,-0.4255,0.1734,0.384
150,0.03,0.25,28,1.4875,0.0597,-0.4081,0.1755,0.441
150,0.03,0.25,29,1.5069,0.0603,-0.4081,0.1763,0.443
150,0.03,0.25,30,1.5215,0.0606,-0.4081,0.1764,0.445
150,0.03,0.25,31,1.5346,0.061,-0.4081,0.1765,0.447
150,0.03,0.5,28,1.9038,0.0702,-0.4081,0.1847,0.485
150,0.03,0.5,29,1.9264,0.0708,-0.4081,0.1855,0.487
150,0.03,0.5,30,1.9435,0.0711,-0.4081,0.1856,0.488
150,0.03,0.5,31,1.9587,0.0715,-0.4081,0.1857,0.49
150,0.03,0.75,28,2.3356,0.0797,-0.4081,0.1996,0.51
150,0.03,0.75,29,2.3615,0.0802,-0.4081,0.2003,0.511
150,0.03,0.75,30,2.3811,0.0806,-0.4081,0.2004,0.513
150,0.03,0.75,31,2.3986,0.081,-0.4081,0.2004,0.515
150,0.05,0.0,28,0.9504,0.0434,-0.4347,0.1751,0.348
150,0.05,0.0,29,1.1017,0.0484,-0.4141,0.1762,0.375
150,0.05,0.0,30,1.1299,0.0493,-0.4141,0.1764,0.38
150,0.05,0.0,31,1.1409,0.0497,-0.4141,0.1764,0.382
150,0.05,0.25,28,1.366,0.0564,-0.4081,0.1781,0.418
150,0.05,0.25,29,1.5495,0.0614,-0.4081,0.1792,0.445
